Status [1]	Topic	Objective Description	Baseline Value	Baseline Year	Final Value [2]	Final Year	Target	Movement Toward Target [3]	Movement Away From Baseline [4] (if movement not toward target)	Movement Statistically Significant [5][6]
2	Access to Health Services	AHS-1.1. Persons with medical insurance (percent, under age 65)	83.2	2008	89.0	2018	100.0	34.5	...	Yes
2	Access to Health Services	AHS-1.2. Persons with dental insurance (percent, under age 65)	50.3	2008	54.4	2018	55.3	82.0	...	Yes
3	Access to Health Services	AHS-1.3. Persons with prescription drug insurance (percent, under age 65)	62.2	2008	61.1	2018	68.4	...	1.8	No
3	Access to Health Services	AHS-3. Persons with a usual primary care provider (percent)	76.3	2007	76.4	2016	83.9	1.3	...	No
2	Access to Health Services	AHS-5.1. Persons with a source of ongoing care (percent, all ages)	86.4	2008	87.5	2018	95.0	12.8	...	Yes
2	Access to Health Services	AHS-5.2. Children and youth with a source of ongoing care (percent, ages 17 years and under)	94.3	2008	95.3	2018	100.0	17.5	...	Yes
2	Access to Health Services	AHS-5.3. Adults with a source of ongoing care (percent, ages 18–64)	81.3	2008	82.5	2018	89.4	14.8	...	Yes
3	Access to Health Services	AHS-5.4. Adults with a source of ongoing care (percent, ages 65 and over)	96.3	2008	95.8	2018	100.0	...	0.5	No
3	Access to Health Services	AHS-6.1. Persons unable to obtain or delaying needed medical care, dental care, or prescription medications (percent)	10.0	2007	10.0	2016	9.0	...	0.0	...
1	Access to Health Services	AHS-6.2. Persons unable to obtain or delaying needed medical care (percent)	4.7	2007	4.1	2016	4.2	120.0	...	Yes
1	Access to Health Services	AHS-6.3. Persons unable to obtain or delaying needed dental care (percent)	5.5	2007	4.8	2016	5.0	140.0	...	No
4	Access to Health Services	AHS-6.4. Persons unable to obtain or delaying receipt of needed prescription medications (percent)	3.1	2007	3.5	2016	2.8	...	12.9	Yes
1	Access to Health Services	AHS-9.1. Overall emergency department wait time exceeds recommended time frame	24.7	2010	19.2	2016	22.2	220.0	...	Yes
3	Access to Health Services	AHS-9.2. Level-1 (immediate) emergency department wait time exceeds recommended time frame	83.5	2010	78.9	2016	75.2	55.4	...	No
1	Access to Health Services	AHS-9.3. Level-2 (emergent) emergency department wait time exceeds recommended time frame	66.8	2010	56.8	2016	60.1	149.3	...	Yes
1	Access to Health Services	AHS-9.4. Level-3 (urgent) emergency department wait time exceeds recommended time frame	27.6	2010	20.5	2016	24.8	253.6	...	Yes
1	Access to Health Services	AHS-9.5. Level-4 (semiurgent) emergency department wait time exceeds recommended time frame	10.1	2010	6.3	2016	7.2	131.0	...	Yes
1	Adolescent Health	AH-1. Adolescents receiving a wellness checkup in the past 12 months (percent, ages 10–17)	68.7	2008	82.5	2018	75.6	200.0	...	Yes
3	Adolescent Health	AH-2. Adolescents participating in extracurricular or out-of-school activities (percent, ages 12–17)	82.4	2007	82.7	2011–2012	90.6	3.7	...	No
2	Adolescent Health	AH-3.1. Adolescents having an adult in their lives with whom they can discuss serious problems (percent, ages 12–17)	75.6	2008	79.0	2018	83.2	44.7	...	Yes
3	Adolescent Health	AH-3.2. Adolescents whose parents attend their events and activities (percent, ages 12–17)	82.1	2007	82.6	2011–2012	90.3	6.1	...	No
2	Adolescent Health	AH-4.1. Adolescents in foster care who exhibit early readiness for adulthood (percent, age 17)	42.8	2010–2011	46.7	2016–2017	47.1	90.7	...	...
