tax_year,filing_status,marginal_rate_percent,taxable_income_over_usd,taxable_income_up_to_usd,base_tax_at_lower_threshold_usd,standard_deduction_usd,primary_source_url
2026,single,10,,12400,0,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,12,12400,50400,1240,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,22,50400,105700,5800,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,24,105700,201775,17966,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,32,201775,256225,41024,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,35,256225,640600,58448,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,single,37,640600,,192979.25,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,10,,24800,0,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,12,24800,100800,2480,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,22,100800,211400,11600,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,24,211400,403550,35932,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,32,403550,512450,82048,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,35,512450,768700,116896,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_jointly,37,768700,,206583.5,32200,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,10,,17700,0,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,12,17700,67450,1770,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,22,67450,105700,7740,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,24,105700,201775,16155,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,32,201775,256200,39213,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,35,256200,640600,56629,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,head_of_household,37,640600,,191169,24150,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,10,,12400,0,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,12,12400,50400,1240,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,22,50400,105700,5800,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,24,105700,201775,17966,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,32,201775,256225,41024,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,35,256225,384350,58448,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
2026,married_filing_separately,37,384350,,103291.75,16100,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf
